user_id,item_id,event_type
1,271,view
1,107,view
1,72,click
1,701,view
1,21,view
1,615,view
1,122,view
1,467,save
1,215,view
1,331,click
1,459,click
1,88,view
1,373,click
1,100,view
1,872,view
1,664,complete
1,131,complete
1,662,save
1,309,view
1,770,view
1,344,click
1,492,view
1,414,view
1,806,view
1,386,view
1,192,like
1,956,view
1,277,click
1,161,view
1,460,click
1,314,click
1,22,view
1,253,complete
2,556,view
2,162,view
2,202,view
2,958,view
2,270,view
2,863,view
2,816,view
2,271,click
2,456,save
2,462,click
2,727,like
2,252,click
2,702,like
2,296,like
2,725,view
2,720,view
2,749,view
2,338,click
2,879,click
2,53,click
2,792,view
2,922,click
2,217,view
2,764,complete
2,188,save
2,380,click
2,493,view
2,41,view
2,157,view
2,15,click
3,554,view
3,892,view
3,461,view
3,691,view
3,575,view
3,864,like
3,743,view
3,241,view
3,564,view
3,96,like
3,900,view
3,734,click
3,485,view
3,407,view
3,231,view
3,749,view
3,655,click
3,171,view
3,541,click
3,36,view
3,525,view
3,160,view
3,839,view
3,699,click
3,243,view
3,86,view
3,796,view
3,578,view
3,682,click
3,557,click
4,699,view
4,113,view
4,2,view
4,642,save
4,220,view
4,566,dislike
4,855,view
4,736,save
4,225,save
4,385,view
4,403,click
4,638,click
4,130,like
4,53,view
4,684,view
4,730,click
4,672,save
4,710,view
4,416,view
4,247,complete
4,836,view
5,872,complete
5,641,click
5,779,like
5,988,view
5,953,view
5,473,click
5,946,save
5,151,like
5,415,view
5,990,like
5,298,like
5,611,complete
5,263,save
5,764,click
5,144,click
5,346,view
5,624,complete
5,572,complete
5,881,view
5,2,view
5,897,view
5,304,view
6,580,view
6,801,view
6,398,click
6,277,view
6,816,view
6,916,click
6,504,view
6,896,complete
6,392,complete
6,135,like
6,195,view
6,401,view
6,640,like
6,33,view
6,688,complete
6,460,complete
6,955,like
6,883,view
6,470,view
6,375,like
6,22,view
6,750,view
6,670,click
6,38,complete
6,230,click
6,365,click
6,563,view
6,438,click
6,776,dislike
6,283,view
6,27,click
6,226,like
6,277,click
6,798,click
6,609,click
6,284,view
6,879,view
7,867,view
7,818,dislike
7,921,save
7,408,like
7,525,view
7,828,view
7,506,view
7,903,click
7,825,view
7,36,save
7,685,view
7,20,complete
7,321,view
7,776,save
7,512,view
7,400,view
7,654,click
7,972,view
7,883,view
7,471,complete
7,143,click
7,92,view
7,354,view
7,834,view
7,800,click
7,727,view
7,959,view
7,854,view
7,51,view
7,665,click
8,58,view
8,634,view
8,513,view
8,751,complete
8,802,click
9,790,view
9,861,view
9,247,view
9,963,view
9,76,like
9,154,click
9,656,view
9,435,view
9,86,view
10,254,view
10,734,click
10,357,complete
10,23,view
10,762,complete
10,522,like
10,758,view
10,837,view
10,100,view
10,802,view
10,180,view
10,223,click
10,906,view
10,762,view
10,659,save
10,442,view
10,608,save
10,769,view
10,325,view
10,516,click
10,16,click
10,792,like
10,336,click
10,759,save
10,258,view
10,497,view
10,988,save
10,896,save
10,160,dislike
10,475,view
10,852,view
10,664,save
10,908,view
10,690,complete
10,675,like
10,380,view
10,545,save
11,867,click
11,873,view
11,798,view
11,273,view
11,881,click
11,62,save
11,596,save
11,880,save
11,729,view
11,342,view
11,397,view
11,699,click
11,19,view
11,177,like
11,612,view
11,396,view
11,445,view
11,233,save
11,915,click
11,76,view
11,265,view
11,455,click
11,796,view
11,718,save
11,735,click
11,384,view
11,564,view
11,851,dislike
11,506,view
12,342,dislike
12,500,save
12,657,view
12,511,view
12,327,save
13,714,view
13,858,complete
13,531,view
13,39,complete
13,126,view
13,451,like
13,173,click
13,653,dislike
13,754,view
13,220,click
13,638,complete
13,58,click
13,660,click
13,476,click
13,456,view
13,829,click
13,895,click
13,361,like
13,935,view
13,1,view
13,387,complete
13,973,like
13,348,view
13,190,click
13,505,view
13,191,view
13,508,view
13,369,view
13,409,click
13,824,view
13,929,complete
14,502,save
14,959,view
14,145,dislike
14,201,view
14,929,click
14,724,view
14,461,save
14,732,click
14,752,view
14,925,view
14,909,view
14,558,view
14,547,view
14,253,click
14,390,click
14,594,click
14,883,like
14,256,click
14,709,click
14,815,save
14,921,view
14,450,view
14,10,view
14,824,view
14,798,view
14,242,view
14,251,like
14,877,save
14,5,view
14,119,view
14,801,view
15,438,view
15,118,click
15,771,click
15,891,view
15,306,like
15,268,view
15,961,click
15,54,click
15,236,save
15,389,view
15,990,save
15,734,save
15,763,view
15,825,view
15,401,click
15,624,view
15,767,view
15,303,click
15,919,view
15,207,click
15,229,view
15,853,click
15,910,view
15,578,click
15,75,view
15,435,click
15,103,view
15,422,like
15,704,click
15,764,complete
15,738,click
15,806,view
15,306,save
15,98,view
15,850,view
15,798,view
15,335,click
15,859,click
16,346,like
16,46,like
16,546,view
16,945,view
16,78,save
16,730,click
16,813,view
16,923,view
16,73,view
16,794,view
16,249,click
16,47,view
16,121,view
16,214,click
16,239,view
16,56,view
17,3,view
17,623,view
17,919,click
17,750,view
17,363,click
17,751,save
17,508,view
17,274,click
17,506,view
17,806,view
17,739,view
18,67,view
18,233,view
18,109,view
18,146,click
18,111,click
18,228,view
18,111,dislike
18,470,click
18,34,view
18,623,view
18,776,view
18,936,view
18,369,view
18,748,view
19,607,save
19,664,view
19,823,complete
19,137,click
19,759,view
19,899,click
19,243,click
19,543,click
19,40,save
19,229,view
19,548,click
19,920,complete
19,223,view
19,6,click
19,322,view
19,468,view
19,732,click
19,75,click
19,4,view
19,847,click
19,646,view
19,118,view
19,881,view
19,606,view
19,504,view
19,947,click
19,574,save
19,441,view
19,194,like
19,847,click
19,715,view
19,392,complete
19,26,dislike
19,435,view
20,547,click
20,513,view
20,296,click
20,320,view
20,918,view
20,572,click
20,832,view
20,349,view
20,840,click
20,779,view
20,873,view
20,229,click
20,270,click
20,828,view
20,798,like
20,291,view
20,725,click
20,165,click
20,5,dislike
20,851,save
20,379,click
20,78,save
20,410,view
20,574,view
20,132,click
20,601,view
20,749,save
20,42,view
20,89,click
20,402,view
20,296,view
20,840,click
20,295,click
20,616,click
20,526,view
20,800,view
20,691,save
20,637,view
20,422,click
21,811,save
21,283,view
21,69,click
21,660,save
21,11,view
21,254,view
21,842,view
21,872,view
21,550,save
21,134,like
21,712,view
21,23,view
21,815,view
21,346,view
21,302,save
21,363,view
21,396,view
21,218,view
21,141,click
21,616,view
21,958,click
21,210,view
21,985,save
21,623,click
21,616,view
21,828,view
21,683,like
21,460,like
21,356,view
21,324,view
22,529,view
22,640,view
22,939,dislike
22,955,click
22,876,click
22,763,view
22,179,click
22,182,view
22,664,like
22,25,view
22,967,view
22,180,view
22,710,view
22,501,click
22,856,view
22,161,save
22,177,view
22,285,click
22,63,view
22,662,view
22,666,click
22,156,view
22,882,view
22,469,like
22,49,complete
22,967,view
22,849,view
22,84,click
22,361,view
22,689,view
22,148,view
23,349,view
23,8,save
23,833,view
23,313,click
23,759,view
23,835,view
23,984,view
23,983,click
23,443,like
23,767,save
23,328,view
24,910,view
24,735,view
24,823,click
24,944,view
24,978,click
24,7,view
24,330,click
24,775,view
24,673,view
24,151,complete
24,85,save
24,147,view
24,624,like
24,381,view
24,915,like
24,548,save
24,285,view
24,700,view
24,82,view
24,514,click
24,897,click
24,815,view
24,709,view
24,916,save
24,523,dislike
25,109,click
25,610,view
25,727,like
25,805,view
25,75,view
25,838,click
25,146,view
25,128,view
25,853,click
25,42,view
25,356,click
25,41,view
25,934,view
25,34,view
25,17,view
25,677,click
25,153,view
25,378,click
25,588,view
25,599,click
25,629,complete
25,874,click
25,342,view
25,981,view
25,27,view
25,825,click
25,287,view
25,646,view
25,731,click
25,168,view
25,610,save
25,268,view
25,749,view
26,641,view
26,217,like
26,61,view
26,939,complete
26,616,view
26,42,view
26,25,click
26,39,like
26,803,click
26,131,save
26,498,click
26,229,click
26,108,save
26,172,view
26,435,view
26,478,view
26,102,dislike
26,866,complete
26,524,view
26,275,click
26,613,like
27,794,click
27,981,view
27,86,click
27,250,view
27,391,like
27,782,click
27,335,view
27,629,view
27,519,click
27,137,save
27,883,click
27,688,click
27,840,click
27,498,click
27,827,view
27,727,like
27,477,view
27,594,view
27,223,dislike
27,990,view
27,372,view
27,935,view
27,402,complete
27,443,view
27,490,view
27,615,view
27,273,view
28,440,view
28,748,view
28,239,view
28,377,dislike
28,266,view
28,926,view
28,921,click
28,359,view
28,340,complete
28,389,save
28,577,view
28,990,view
28,689,like
28,3,complete
28,429,view
28,142,click
28,376,view
28,670,dislike
28,324,view
28,146,complete
29,107,view
29,226,click
29,825,click
29,218,click
29,937,view
29,753,click
29,506,view
29,259,dislike
29,888,like
29,774,view
29,517,click
29,773,click
29,54,view
29,47,like
30,267,dislike
30,617,view
30,952,like
30,323,click
30,635,like
30,988,click
30,541,click
30,649,click
30,195,like
30,921,click
30,738,click
30,332,like
30,170,view
30,521,view
30,463,view
30,40,view
30,537,view
30,261,complete
30,395,view
30,955,click
30,226,view
30,984,like
30,124,complete
30,975,view
30,38,like
30,328,view
30,251,save
30,901,view
30,176,like
30,602,view
30,914,click
30,454,save
30,37,view
30,316,view
30,688,view
30,973,view
30,796,click
30,965,view
31,700,view
31,448,like
31,856,complete
31,365,complete
31,675,click
31,326,view
31,467,save
31,414,view
31,455,view
31,586,view
31,233,view
31,224,save
31,831,click
31,412,view
31,572,view
31,335,dislike
31,222,view
31,37,view
31,989,view
31,278,save
31,196,click
31,916,view
31,864,view
31,484,click
31,242,click
31,324,view
31,731,complete
31,192,view
31,17,view
31,524,complete
31,918,view
31,401,click
31,906,view
31,886,view
31,705,dislike
31,22,view
31,474,like
31,120,view
32,832,click
32,793,view
32,792,click
32,524,view
32,786,view
32,271,click
32,492,view
32,208,click
32,539,view
32,584,dislike
32,60,view
32,430,view
32,985,click
32,657,view
32,605,complete
32,309,click
32,520,click
32,591,save
32,27,complete
32,686,like
32,562,click
32,199,click
32,387,view
32,349,view
32,960,click
32,940,view
32,693,view
32,536,view
32,828,view
32,378,save
32,899,complete
32,916,view
32,558,click
32,527,like
32,153,view
32,734,save
32,206,view
32,455,view
32,273,complete
33,686,save
33,122,view
33,143,like
33,106,click
33,887,save
33,428,view
33,305,click
33,872,click
33,971,click
33,317,view
33,963,view
33,635,view
33,902,view
33,9,like
33,774,view
33,73,complete
33,359,view
33,223,view
33,416,save
33,553,click
33,370,view
33,716,click
33,264,click
33,840,view
33,690,dislike
33,860,complete
33,318,click
33,84,view
33,318,click
33,111,view
34,353,click
34,903,click
34,332,click
34,817,view
34,862,view
34,725,click
34,159,click
34,954,save
34,957,click
34,24,dislike
34,404,view
34,805,view
34,516,view
34,732,view
34,364,save
34,382,view
34,532,save
34,956,view
34,152,click
35,334,view
35,2,click
35,375,view
35,293,view
35,837,like
35,934,view
35,553,click
35,318,click
35,502,view
35,828,view
35,381,view
35,623,like
35,14,view
35,504,view
35,231,view
35,985,click
35,84,view
35,130,view
36,683,click
36,972,view
36,513,save
36,313,save
36,576,click
36,886,like
36,980,view
36,284,view
36,121,view
36,107,view
36,933,click
36,687,complete
37,1,view
37,119,view
37,35,view
37,198,click
37,485,view
37,757,click
37,59,complete
37,837,view
37,161,click
37,691,view
37,206,like
37,12,view
37,490,click
37,276,save
37,693,complete
37,242,click
37,216,view
37,251,click
37,811,like
37,126,click
37,217,view
37,306,complete
37,797,click
37,185,click
37,39,view
37,223,click
37,184,view
37,495,click
37,427,view
37,178,click
37,919,dislike
37,428,view
37,294,complete
38,688,view
38,781,click
38,585,click
38,757,click
38,589,view
38,159,click
38,489,click
38,971,click
38,324,view
38,610,view
38,381,click
38,102,view
38,494,click
38,644,save
38,614,click
38,19,click
38,454,complete
38,482,save
38,594,like
38,397,save
38,279,view
38,851,view
38,365,click
38,331,view
38,641,view
38,344,view
38,822,click
38,455,click
38,601,click
39,407,like
39,619,click
39,336,click
39,815,view
39,117,click
39,124,view
39,399,complete
39,793,save
39,804,click
39,715,view
39,51,like
39,783,save
39,324,view
39,789,view
39,141,save
39,470,view
39,787,like
39,802,view
39,334,view
39,893,save
39,964,view
39,373,click
39,564,view
39,494,view
39,539,click
40,726,click
40,220,save
40,905,save
40,26,view
40,521,view
40,783,view
40,10,view
40,984,like
40,378,view
40,633,click
40,637,view
40,682,view
40,584,view
40,152,view
40,720,click
40,49,view
40,154,click
40,859,view
40,293,view
40,580,view
40,50,click
40,664,click
40,531,view
40,612,view
40,60,click
41,280,click
41,700,view
41,302,view
41,531,view
41,580,click
41,218,view
41,102,save
41,554,click
41,288,view
41,167,click
41,621,view
41,36,click
41,744,click
41,741,view
41,353,view
42,838,view
42,130,save
42,727,view
42,172,view
42,770,dislike
42,614,view
42,209,view
42,803,view
42,354,complete
42,471,view
42,798,click
42,116,save
42,264,view
42,662,click
42,812,view
42,442,view
42,548,save
42,453,like
42,845,click
42,477,click
42,287,view
42,303,view
42,311,view
42,208,view
42,618,view
42,446,view
43,987,view
43,761,view
43,969,click
43,449,click
43,843,like
43,835,view
44,316,view
44,101,click
44,244,view
44,490,complete
44,12,click
44,239,save
44,561,view
44,42,like
44,678,like
44,594,view
44,429,click
44,803,save
44,158,view
44,216,click
44,670,view
44,462,view
44,134,view
44,67,view
44,848,view
44,7,view
44,948,complete
44,526,click
44,73,complete
44,399,view
44,405,view
44,675,click
45,989,view
45,828,click
45,447,dislike
45,390,view
45,672,view
45,861,view
45,43,view
45,254,view
45,130,click
45,60,view
45,663,click
45,467,dislike
45,287,save
45,517,click
45,467,view
45,930,click
45,778,click
45,345,view
45,642,view
45,382,like
45,779,view
45,690,view
46,155,view
46,92,view
46,982,save
46,526,click
46,455,click
46,741,view
46,598,click
46,645,view
46,510,save
46,183,click
46,386,view
47,164,complete
47,465,save
47,497,view
47,700,view
47,395,complete
47,703,view
47,917,save
47,308,save
47,768,view
47,183,view
47,629,view
47,794,view
47,510,like
47,708,view
47,546,like
47,564,view
47,624,dislike
47,764,view
47,594,view
47,744,view
47,227,click
47,745,click
47,733,save
47,436,view
47,925,view
47,422,click
47,554,view
47,21,view
47,554,dislike
47,397,complete
47,625,complete
47,105,save
47,192,view
47,17,view
47,120,click
47,393,save
48,320,click
48,138,view
48,550,view
48,623,view
48,992,click
48,368,save
48,220,click
48,337,click
48,223,view
48,648,complete
48,768,save
48,360,view
49,374,save
49,781,click
49,693,view
49,160,view
49,351,like
49,912,view
50,488,view
50,827,complete
50,846,click
50,124,click
50,985,view
50,626,view
50,790,view
50,414,save
50,980,view
50,725,click
50,172,click
50,288,view
50,435,click
50,686,view
50,113,complete
50,888,view
50,917,view
50,122,view
50,544,view
50,222,save
